id,rua,numero,bairro,cidade,estado,cep
104,Via Laís Machado,1906,Santa Margarida,Silva de Goiás,MA,30726260
105,Quadra de Porto,8584,Paraíso,Farias Paulista,PB,82846268
106,Estação de Câmara,8704,Jardim América,Rios de Minas,MA,20741139
107,Largo Lorena Sá,4340,Unidas,Lopes,RR,08380894
108,Distrito de Pereira,59,Comiteco,Nogueira,ES,98369935
109,Vila de Santos,654,Aparecida,Mendonça Verde,SC,17254220
110,Lagoa Ana Liz Rocha,9017,Aparecida,Machado,MA,86318-296
111,Viela Melissa Sampaio,5956,Vila Mantiqueira,Barros dos Dourados,RN,98132-781
112,Vereda Sampaio,9092,Cachoeirinha,Jesus de Mendonça,SE,90879-430
113,Passarela Marcos Vinicius Marques,1904,Maria Tereza,Albuquerque,CE,67620588
114,Vale de Sá,7590,Teixeira Dias,Fogaça,AP,74921-170
115,Jardim de Rocha,7304,Delta,Marques,RO,62992-126
116,Área Macedo,4575,Graça,Sampaio,MT,02341-569
117,Viaduto João da Cruz,2238,Mirtes,Macedo do Norte,SE,80659589
118,Jardim de da Luz,4630,Vale Do Jatoba,Novaes de Sampaio,GO,13412038
119,Setor Sales,4927,Vila Mantiqueira,da Rocha,PB,60257-394
120,Trevo de Nascimento,4910,Marmiteiros,da Conceição,SP,38659480
121,Condomínio Lima,9504,Conjunto Minas Caixa,da Luz da Prata,RJ,93304700
122,Aeroporto Novais,9930,Conjunto Santa Maria,Sousa de Barbosa,TO,80535-898
123,Travessa Marcelo Siqueira,8044,Camargos,Cunha,BA,34563-754
124,Travessa de Araújo,1244,Buraco Quente,das Neves,AC,89517680
125,Trecho Leandro Silva,6082,Vila Maria,da Cruz do Campo,RJ,39368-221
126,Jardim Mendonça,8961,Gameleira,Santos,AC,57065057
127,Chácara Macedo,3901,União,Nogueira,RJ,82155688
128,Ladeira de Jesus,2225,Aparecida,Garcia de Goiás,RJ,34703536
129,Sítio Lopes,2279,Boa União 2ª Seção,Ribeiro de Albuquerque,AC,13556380
130,Lago Barros,6616,Nazare,Araújo,GO,80811-350
131,Núcleo de Ribeiro,3360,Olaria,Barbosa,SC,99464-643
132,Viela da Rocha,6391,Goiania,Rios de Goiás,BA,52129-051
133,Fazenda Ian Monteiro,934,Vila Antena,Lima do Galho,AM,63136924
134,Condomínio Clara Azevedo,5615,São João Batista,Gomes,PE,25350956
135,Campo da Cruz,1659,Santa Margarida,Cassiano,AP,16971432
136,Ladeira de Montenegro,4184,Varzea Da Palma,Costela Paulista,PE,16531436
137,Núcleo de Brito,67,Parque São José,Moraes,ES,77598-549
138,Estação Sá,3570,Paraíso,Moura,RS,06999742
139,Rodovia de Cavalcante,5095,Vila Barragem Santa Lúcia,Duarte,DF,36213-531
140,Aeroporto Bento Alves,3231,Alto Vera Cruz,Novaes,ES,99338785
141,Sítio da Rocha,6888,São Luiz,Fonseca,DF,57611-295
142,Condomínio Fernando Campos,4419,Eymard,Silva,AP,98737370
143,Viela Yuri Cavalcanti,9120,Laranjeiras,Sales de Brito,PR,59475-287
144,Rodovia Castro,8491,Marajó,Barros,TO,08802619
145,Passarela de Rocha,2960,Lagoa,Caldeira das Pedras,MS,99107152
146,Praça de Rodrigues,333,Vila Jardim Alvorada,da Conceição de Cavalcanti,PE,34683-711
147,Rua Sampaio,9778,Europa,Caldeira de Moura,CE,33152300
148,Passarela Hellena Novaes,8121,Bernadete,Moura da Praia,PB,00780919
149,Estação Sousa,1533,Nossa Senhora De Fátima,Dias Paulista,RR,83516-612
150,Lago de da Rosa,174,Vila Ouro Minas,Sousa da Serra,TO,59856-631
151,Chácara Castro,4936,Vitoria Da Conquista,Marques,RJ,27085829
152,Feira de Cunha,2556,São Jorge 3ª Seção,Ferreira,MG,88101-251
153,Ladeira Caio das Neves,2922,Baleia,da Cruz,MA,60155-196
154,Estrada de Pimenta,7063,Miramar,Vargas,AC,65728344
155,Lagoa de Albuquerque,6076,Maria Tereza,Silva da Prata,RO,94241125
156,Avenida Milena da Conceição,5131,Novo Tupi,Albuquerque,MG,31372-007
157,Fazenda Lunna Garcia,1809,Vila Das Oliveiras,Nogueira,AC,01076-117
158,Núcleo Macedo,9097,Palmares,Fernandes,BA,55930-255
159,Favela Pinto,8504,Vila Calafate,Cunha do Amparo,RS,96844-637
160,Residencial Gustavo Henrique Casa Grande,9255,Marajó,Araújo,MG,68228-124
161,Avenida Henrique Costela,9356,Brasil Industrial,Lima de Guerra,PI,14958-056
162,Via Isis Casa Grande,5337,Vila Nova Gameleira 1ª Seção,Borges do Oeste,SE,21173425
163,Ladeira Dom Montenegro,3974,Santa Rita,Brito,ES,68324-830
164,Quadra da Rosa,4239,Nova America,Aparecida,AP,45916-123
165,Viaduto de Azevedo,7070,Cdi Jatoba,Correia,MA,57861-776
166,Alameda de Moura,4271,Nossa Senhora Da Conceição,Casa Grande,AL,94031-237
167,Jardim Mariah da Cruz,9731,Leticia,da Rocha de Costela,CE,11276-794
168,Estação de Ramos,5930,Vale Do Jatoba,Sampaio de Goiás,CE,00320157
169,Pátio de Correia,3968,São Bento,Santos,RJ,71685720
170,Trevo de Vasconcelos,9530,Maria Virgínia,Câmara das Flores,MT,18189-777
171,Vereda Asafe Aragão,1629,Das Industrias I,da Paz,AL,56523-344
172,Lagoa Davi Miguel Casa Grande,593,Alto Das Antenas,Teixeira,ES,34423953
173,Viaduto Lopes,9536,Confisco,Freitas,PA,28699434
174,Vale Rafaela Silva,9233,Bonfim,Viana do Campo,PI,99968-851
175,Estrada Carlos Eduardo Oliveira,5015,Horto,Vargas,CE,48646072
176,Quadra de Abreu,2077,Barão Homem De Melo 1ª Seção,Nunes da Prata,PR,94104-791
177,Rodovia Camargo,7785,Indaiá,Aparecida do Campo,PI,90952339
178,Lago Marques,6737,Vila Bandeirantes,Pires,MG,71753260
179,Chácara Ana Cecília da Mota,9292,Vila São Gabriel Jacui,Ramos,RN,53127531
180,Feira Emanuelly Novais,6356,Serrano,Teixeira das Flores,AC,40262-133
181,Largo Antonella Jesus,1069,Aeroporto,Nunes da Prata,RJ,53552-093
182,Esplanada Pacheco,8926,Paraíso,Pires do Campo,DF,70680488
183,Feira Pacheco,430,Conjunto Novo Dom Bosco,da Cunha,GO,82441-850
184,Conjunto Moreira,3898,Santana Do Cafezal,da Mata dos Dourados,MA,71025758
185,Viaduto Azevedo,8965,Conjunto Jardim Filadélfia,Pacheco,AP,57253513
186,Rua Marcelo Rocha,3760,Jardim Montanhês,Jesus do Galho,RR,67799854
187,Lago de Brito,1858,São Gonçalo,Garcia,ES,17715-242
188,Estrada de Fernandes,4686,Vila Paris,Alves do Campo,MS,90634259
189,Feira Castro,8664,Comiteco,Moraes,MG,79327-140
190,Favela da Costa,2658,São Gonçalo,Borges,PB,28401228
191,Fazenda de Vieira,3182,Vila Santo Antônio Barroquinha,da Rosa,RR,39560-606
192,Loteamento Bruna Cirino,2497,Lourdes,Silva do Sul,RS,30228-737
193,Avenida Carolina Martins,8829,Olaria,Martins da Praia,AC,33532-093
194,Conjunto Câmara,2796,Vila Madre Gertrudes 3ª Seção,Fonseca,ES,35949-507
195,Morro de Montenegro,3627,Vila Das Oliveiras,Pereira de da Mata,PA,90106-433
196,Condomínio de Rezende,583,Vila Suzana Primeira Seção,Cavalcanti de Silveira,PI,31358-199
197,Campo de Peixoto,2842,Alto Dos Pinheiros,Mendonça de Goiás,MG,67439096
198,Conjunto de da Cunha,1894,Vila São Geraldo,Gomes de Barbosa,PI,34588-300
199,Trecho da Paz,5074,Liberdade,Pastor,PB,39841361
200,Conjunto de Aparecida,7554,Aparecida,Leão da Prata,PR,77289038
201,Morro de Camargo,1910,Apolonia,Abreu de Costa,PA,13100-555
202,Fazenda de Abreu,5015,São Damião,Rocha das Flores,RO,17943-210
203,Estação de Aparecida,3317,Santa Maria,Rocha da Mata,RN,85245595
204,Quadra de Souza,6995,Acaba Mundo,Leão,MS,25742-517
205,Via de Fonseca,3158,Jardim Atlântico,Lopes,CE,05386-882
206,Vale Farias,7680,Coração De Jesus,Jesus de Fernandes,AM,24914447
207,Ladeira de Campos,9329,Mineirão,Ramos,MS,51059-909
208,Via de Sampaio,3894,Buraco Quente,Sales,DF,89883169
209,Campo Cunha,4855,Alto Das Antenas,Rodrigues do Campo,AP,59227-211
210,Aeroporto de Correia,9777,Comiteco,Rios do Amparo,MS,07150262
211,Residencial Leão,5323,Jardim Do Vale,Montenegro de Minas,AL,52460908
212,Estação das Neves,8902,Pindura Saia,Teixeira de Nunes,AP,28921-685
213,Condomínio Samuel Almeida,1021,Carlos Prates,Pinto,BA,65161128
214,Rua de Pastor,4716,Custodinha,Rocha Alegre,DF,26462-973
215,Rua Carvalho,9881,Vila Nova,Silveira,ES,80698588
216,Conjunto Silva,28,Vila Atila De Paiva,Pereira Alegre,GO,47522444
217,Ladeira de Pires,1917,Vitoria,Castro,ES,22748-623
218,Viela Oliver Leão,6571,Bacurau,Moreira do Sul,RR,71788-812
219,Avenida Nascimento,2655,Vila Engenho Nogueira,da Rocha de Barbosa,MT,57611607
220,Esplanada de Lima,1763,Aparecida 7ª Seção,Fernandes,AC,08002979
221,Recanto Maria Isis Garcia,3750,Grotinha,da Luz,DF,49540989
222,Aeroporto Gomes,8681,Taquaril,Cavalcante Grande,SP,68757-921
223,Fazenda Rezende,3587,Liberdade,Sousa,SP,99278176
224,Pátio Luiz Miguel Cardoso,1596,Bela Vitoria,Montenegro do Sul,AC,65214-506
225,Lagoa de Andrade,4507,Tirol,Nunes,AC,15180-454
226,Lagoa Guerra,7185,Novo Aarão Reis,Cavalcanti,TO,11601-470
227,Vila de Carvalho,7394,Serrano,Camargo,TO,44378935
228,Vereda Hellena Cavalcanti,2828,Santa Rita,Moraes,MT,18769-105
229,Esplanada de Nogueira,2233,Vila Antena Montanhês,da Rosa,TO,57292-355
230,Feira Freitas,5722,Calafate,Ferreira,BA,02967417
231,Viaduto Anthony Silva,9725,Parque São Pedro,Gonçalves,CE,51234-493
232,Área Araújo,2983,Goiania,Guerra do Norte,AL,86799056
233,Distrito Brito,6290,Maria Goretti,Viana Paulista,RS,08952-054
234,Avenida Fernandes,8782,Vitoria Da Conquista,Montenegro,SP,06554-996
235,Sítio Fonseca,8720,Cabana Do Pai Tomás,Novaes da Mata,BA,98691-410
236,Lago Isaque Nascimento,458,Floramar,Pacheco,SC,29685267
237,Travessa Maysa Silva,229,Graça,Santos da Serra,AM,73025584
238,Morro de Sales,8834,Boa União 2ª Seção,Nogueira,AP,54014018
239,Vale Castro,29,Cabana Do Pai Tomás,Casa Grande de Cirino,SC,56646-023
240,Viela Teixeira,634,Universo,Ribeiro,AL,14470269
241,Quadra de da Cruz,5765,Nova Pampulha,Silveira do Sul,BA,42382163
242,Viaduto Sousa,2668,Dom Cabral,Ramos de Teixeira,MS,76315-280
243,Avenida de Freitas,6332,Jardim Montanhês,Fernandes do Oeste,SC,86022436
244,Favela Olívia Moraes,287,Renascença,Sá,PI,95720623
245,Viela Ágatha Pereira,6390,São Geraldo,Freitas,AC,15866-184
246,Campo de Sá,3605,Barão Homem De Melo 3ª Seção,Viana,TO,93353234
247,Viaduto de Cardoso,5770,São João,das Neves,AC,87710-840
248,Ladeira Vieira,2401,Boa União 1ª Seção,Correia de Goiás,PI,39397-218
249,Largo Souza,5791,Santa Cecilia,Rios,SP,54015676
250,Rua Otto Ramos,7657,Nova Vista,Aragão Paulista,PB,92906951
251,Estação Isaque Aparecida,9203,Túnel De Ibirité,Correia,RN,93308-832
252,Morro de Pires,2120,Vila Madre Gertrudes 3ª Seção,da Costa Verde,RJ,02260169
253,Campo Ana Julia Barros,2271,Cidade Jardim Taquaril,da Rosa,RJ,75241289
254,Vila de Novaes,2615,São Sebastião,Pereira do Oeste,MG,74849476
255,Praia de Silveira,58,Cônego Pinheiro 1ª Seção,Souza do Sul,MT,36197169
256,Praça Correia,9666,Renascença,Abreu de Goiás,AL,06772858
257,Recanto Luiza Barbosa,2672,Vila Independencia 1ª Seção,da Luz de Nunes,MT,68952-741
258,Esplanada Souza,8241,Novo São Lucas,da Paz do Norte,AC,32230621
259,Distrito de Fogaça,1052,Monte Azul,Vieira de Moraes,AM,52164-662
260,Trevo Catarina Nunes,1092,Zilah Sposito,Montenegro de Jesus,TO,00439-706
261,Praça de Vieira,7575,Conjunto Paulo Vi,Montenegro,RN,83930238
262,Condomínio de Barbosa,2212,Pompéia,Aragão,MT,79003-734
263,Sítio Guerra,3074,Santa Branca,Araújo,PI,54337393
264,Campo Borges,2539,Havaí,Pinto de Lopes,ES,92158-562
265,Ladeira Sales,41,Vila Puc,da Costa de Minas,PI,51465167
266,Jardim de Duarte,3304,Cachoeirinha,da Rocha de Carvalho,RJ,39241-836
267,Sítio de Moraes,6962,Vila Maria,Moreira,PI,26550-672
268,Jardim da Conceição,6696,Maravilha,Fogaça,CE,32395552
269,Largo de Peixoto,3599,Jardim Leblon,Martins de Sousa,TO,67893-421
270,Vereda de Casa Grande,211,Cabana Do Pai Tomás,Cassiano,RR,45876-895
271,Lago Stephany Santos,84,Santa Inês,Farias,AL,38774359
272,Loteamento Moreira,2572,Tres Marias,Barros do Campo,MA,90962450
273,Chácara Stella Ferreira,7572,Centro,Vieira do Oeste,GO,49772-747
274,Conjunto Josué Andrade,331,São Jorge 3ª Seção,da Rocha,DF,33373-703
275,Núcleo de Castro,1473,Conjunto Capitão Eduardo,Porto,RO,83908-217
276,Área Machado,2827,Mangabeiras,da Cruz do Amparo,AL,15271-084
277,Estrada de Cavalcanti,6900,Sport Club,Albuquerque Paulista,AL,19607010
278,Viela de Souza,2434,Vila Trinta E Um De Março,Aragão,AC,55395328
279,Quadra Lucas Gabriel da Rosa,6371,Vila Dos Anjos,Sá de Leão,PI,99756576
280,Lagoa Antony Freitas,9402,São José,Teixeira do Oeste,AC,44240-476
281,Viaduto Cavalcanti,7036,Santa Isabel,Fernandes de Gonçalves,RJ,29635782
282,Trecho Nascimento,4026,Colégio Batista,Rios de Nogueira,MT,84954820
283,Aeroporto Duarte,9313,Aeroporto,da Rocha,RR,31381-445
284,Avenida de Sá,2775,Vila Havaí,Pereira,MG,74563-572
285,Condomínio Nathan Teixeira,2361,Vila Petropolis,Campos do Norte,MS,01193656
286,Estação Andrade,4783,Floresta,Freitas do Oeste,RR,86224967
287,Parque Camila Pires,5179,Savassi,Oliveira,TO,44788531
288,Via de Jesus,2026,Dom Cabral,Gomes,PA,35149642
289,Sítio Ramos,2146,Piraja,da Mata de Minas,SP,42002-188
290,Campo de Brito,4152,Nova Cachoeirinha,Nunes Alegre,MA,59162052
291,Viaduto de Leão,6031,Saudade,Almeida Alegre,PI,77547-602
292,Avenida Sofia Cavalcante,1879,Liberdade,Vasconcelos,CE,87643-968
293,Setor de Sá,6894,Conjunto Providencia,Garcia,PE,53977-845
294,Setor da Mata,715,Barão Homem De Melo 1ª Seção,Correia,MA,69064-785
295,Quadra Lavínia das Neves,7419,Vila Trinta E Um De Março,Silva do Amparo,SC,28622175
296,Quadra de Cavalcanti,5325,Vila Aeroporto Jaraguá,Ferreira,DF,22550-414
297,Aeroporto Sampaio,7084,Mala E Cuia,Nogueira,MT,22871960
298,Rua Isaque Sousa,707,Vila Boa Vista,Teixeira das Pedras,BA,96940869
299,Lagoa da Paz,3515,Floramar,Costela,PI,73443357
300,Lagoa Luara Carvalho,631,Vila Canto Do Sabiá,Gonçalves das Pedras,RN,76781348
301,Estrada Sarah Martins,592,São Gabriel,Vasconcelos das Pedras,AL,99497034
302,Quadra Diego Camargo,79,Gutierrez,Duarte Paulista,SE,38917-765
303,Núcleo Arthur Borges,4186,Baleia,Siqueira,PR,47124-775
304,Trevo de Garcia,2518,Beija Flor,Vasconcelos da Serra,RO,35270815
305,Área Ramos,7153,Vila Madre Gertrudes 3ª Seção,Vasconcelos do Campo,RN,83978-559
306,Conjunto Guerra,161,Vila Havaí,Machado,AC,89070944
307,Distrito Luna Peixoto,4120,Barreiro,Peixoto,CE,27049156
308,Alameda Kamilly Silva,1310,Savassi,Câmara de Nascimento,SE,03720-133
309,Núcleo de Oliveira,2334,Colégio Batista,Camargo Alegre,RJ,69412-135
310,Lagoa Duarte,9685,Biquinhas,Nunes,RS,77831998
311,Morro Raul Camargo,8586,Alto Dos Pinheiros,Gomes,AC,82496-482
312,Fazenda Souza,7080,Pindura Saia,Machado,PR,48409772
313,Quadra de Cavalcante,6087,Buritis,Andrade,MS,16401670
314,Praça Antony Silveira,2306,Conjunto Capitão Eduardo,da Luz Alegre,SP,50261-818
315,Estação Moreira,3727,Dom Cabral,Aparecida,ES,99268-051
316,Pátio Pastor,4844,Esperança,da Rosa,PR,71867350
317,Via Santos,2697,Álvaro Camargos,Castro,TO,11932-073
318,Ladeira Pires,1170,Etelvina Carneiro,das Neves de Guerra,SE,95242-854
319,Praça Costela,5615,Marieta 2ª Seção,Sá,DF,21334-696
320,Campo Diogo Guerra,1102,Cardoso,da Cruz das Pedras,RR,12085590
321,Vale de Sales,593,Bonsucesso,Santos Grande,MT,12995-776
322,Morro Mendes,1684,Vila Cemig,Pimenta do Oeste,GO,31160860
323,Esplanada Asafe Fernandes,9407,Marçola,Pimenta,BA,32493632
324,Campo Ana Clara Nunes,1107,Vila Esplanada,Costa,AL,94329030
325,Recanto Miguel Freitas,7854,Vila Vista Alegre,Freitas,CE,41051-106
326,Passarela de Vargas,3423,Vila Nova Paraíso,Sales da Serra,BA,15127555
327,Viela de Machado,2146,Capitão Eduardo,Machado das Pedras,PI,72245-486
328,Vila de Moreira,7573,Vila São João Batista,Freitas,TO,48955-395
329,Chácara Vitor Pires,7456,Marajó,Fernandes do Amparo,AC,46676077
330,Lago de Moraes,3295,Santa Margarida,Duarte do Oeste,RS,89346-010
331,Largo Vicente Barros,5622,Nova Cachoeirinha,Carvalho do Norte,SE,99966-393
332,Condomínio Ana Cecília Porto,1279,Marieta 1ª Seção,Fonseca,CE,29137-921
333,Condomínio Cavalcante,3890,Bonsucesso,da Rocha dos Dourados,RJ,16694-365
334,Aeroporto de Rios,6627,Caiçaras,Nunes de Marques,PE,08623-171
335,Conjunto de Ferreira,4289,Ernesto Nascimento,Camargo,MG,99217-900
336,Setor Ferreira,9488,Beira Linha,Costa de Pereira,MA,15582261
337,Favela de Porto,2271,Teixeira Dias,Dias,RO,06000-026
338,Jardim de da Mata,1076,Novo Glória,Vieira Grande,SE,15897-461
339,Trecho Amanda Duarte,1797,Madri,Casa Grande de Silva,MT,69036-618
340,Recanto Caroline Barbosa,1412,Vila Dos Anjos,da Rocha,RJ,52968-328
341,Estação Freitas,1931,Alto Dos Pinheiros,Rocha,PB,57322-855
342,Lago Luiz Fernando Cassiano,2001,Boa Esperança,Lopes do Oeste,CE,52023-701
343,Vereda Moraes,697,Vila Engenho Nogueira,Novaes Grande,RO,58424-937
344,Setor de Pereira,2852,São Jorge 2ª Seção,Silva,DF,99982517
345,Viela Stephany Caldeira,5569,Vila Santa Monica 2ª Seção,Azevedo,RS,00768602
346,Lagoa Viana,910,Alpes,Pereira,AP,67063-505
347,Recanto Borges,4277,Pirineus,Costa das Pedras,RS,97557-920
348,Praia Cauê Marques,4593,Dom Silverio,Moreira do Galho,RR,67901-310
349,Viela Henrique Barbosa,2807,Vila Jardim Alvorada,Freitas,TO,80684454
350,Estação de Alves,7524,Vila Petropolis,Martins,MA,23204-806
351,Pátio Vitória Brito,5794,Marmiteiros,Monteiro de Siqueira,BA,32676-366
352,Rodovia Andrade,9490,Vale Do Jatoba,Gonçalves,MG,09523-413
353,Trevo de Duarte,1024,Nossa Senhora Aparecida,Brito,RO,63167-569
354,Ladeira Sara Mendes,1881,Aparecida,Garcia Verde,RR,52567467
355,Setor Antonella Câmara,2433,Vila Ecológica,Pires de Santos,AL,43455-849
